# name zd zs rein_arcsec re_arcsec nser logmchab logmchab_err
015618-010747 0.542 1.167 0.841 3.358 8.443 11.722 0.069
020241-064611 0.502 2.748 1.159 0.683 2.776 11.314 0.113
021411-040502 0.609 1.880 1.248 3.368 8.384 11.662 0.064
021737-051329 0.646 1.847 1.254 1.262 7.159 11.561 0.103
022346-053418 0.499 1.444 1.469 2.173 6.881 11.667 0.096
022610-042011 0.496 1.232 1.036 1.707 7.888 11.617 0.095
023307-043838 0.671 1.869 1.719 1.550 5.559 11.647 0.092
023817-054555 0.599 1.763 0.929 0.706 4.589 11.591 0.101
085855-010208 0.468 1.421 1.005 0.947 4.288 11.386 0.078
094427-014742 0.539 1.179 0.724 1.137 6.428 11.321 0.096
120623+001507 0.563 3.120 1.165 3.359 9.259 11.698 0.109
121052-011905 0.700 2.295 1.279 2.205 7.779 11.697 0.110
121504+004726 0.642 1.297 1.520 0.724 4.241 11.599 0.069
140929-011410 0.584 2.302 1.241 1.231 5.788 11.413 0.108
141300-012608 0.749 2.666 1.135 1.604 6.029 11.611 0.108
141815+015832 0.556 2.139 1.395 0.953 5.201 11.443 0.098
142449-005321 0.795 1.302 2.143 2.531 4.679 12.067 0.081
142720+001916 0.551 1.266 1.399 0.886 4.532 11.553 0.074
144307-004056 0.500 1.071 1.096 0.752 4.321 11.437 0.083
220506+014703 0.476 2.526 1.695 0.593 4.774 11.260 0.087
222801+012805 0.647 2.462 1.731 1.108 3.739 11.613 0.100
223733+005015 0.604 2.143 1.291 3.052 9.819 11.732 0.101
230335+003703 0.458 0.936 1.029 1.639 5.064 11.512 0.101
